Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
264	4	228	151077.289	0	virtual
265	228	69	16706.241	15.0	real
266	4	229	151077.289	0	virtual
267	229	69	16706.241	15.0	real
268	4	230	151077.289	0	virtual
269	230	69	16706.241	15.0	real
270	69	231	151077.289	0	virtual
271	231	8	16706.241	15.0	real
272	69	232	151077.289	0	virtual
273	232	8	16706.241	15.0	real
274	69	233	151077.289	0	virtual
275	233	8	16706.241	15.0	real
276	4	234	151077.289	0	virtual
277	234	71	18743.124	14.0	real
278	4	235	151077.289	0	virtual
279	235	71	18743.124	14.0	real
280	4	236	151077.289	0	virtual
281	236	71	18743.124	14.0	real
282	71	237	151077.289	0	virtual
283	237	9	18743.124	14.0	real
284	71	238	151077.289	0	virtual
285	238	9	18743.124	14.0	real
286	71	239	151077.289	0	virtual
287	239	9	18743.124	14.0	real
288	4	240	151077.289	0	virtual
289	240	73	12125.44	18.0	real
290	4	241	151077.289	0	virtual
291	241	73	12125.44	18.0	real
292	4	242	151077.289	0	virtual
293	242	73	12125.44	18.0	real
294	73	243	151077.289	0	virtual
295	243	7	12125.44	18.0	real
296	73	244	151077.289	0	virtual
297	244	7	12125.44	18.0	real
298	73	245	151077.289	0	virtual
299	245	7	12125.44	18.0	real
300	5	246	151077.289	0	virtual
301	246	75	18743.124	14.0	real
302	5	247	151077.289	0	virtual
303	247	75	18743.124	14.0	real
304	5	248	151077.289	0	virtual
305	248	75	18743.124	14.0	real
306	75	249	151077.289	0	virtual
307	249	76	18743.124	14.0	real
308	75	250	151077.289	0	virtual
309	250	76	18743.124	14.0	real
310	75	251	151077.289	0	virtual
311	251	76	18743.124	14.0	real
312	76	252	151077.289	0	virtual
313	252	8	18743.124	14.0	real
314	76	253	151077.289	0	virtual
315	253	8	18743.124	14.0	real
316	76	254	151077.289	0	virtual
317	254	8	18743.124	14.0	real
318	5	255	151077.289	0	virtual
319	255	78	21136.187	13.0	real
320	5	256	151077.289	0	virtual
321	256	78	21136.187	13.0	real
322	5	257	151077.289	0	virtual
323	257	78	21136.187	13.0	real
324	78	258	151077.289	0	virtual
325	258	79	18743.124	14.0	real
326	78	259	151077.289	0	virtual
327	259	79	18743.124	14.0	real
328	78	260	151077.289	0	virtual
329	260	79	18743.124	14.0	real
330	79	261	151077.289	0	virtual
331	261	47	18743.124	14.0	real
332	79	262	151077.289	0	virtual
333	262	47	18743.124	14.0	real
334	79	263	151077.289	0	virtual
335	263	47	18743.124	14.0	real
336	6	264	151077.289	0	virtual
337	264	81	12125.44	18.0	real
338	6	265	151077.289	0	virtual
339	265	81	12125.44	18.0	real
340	6	266	151077.289	0	virtual
341	266	81	12125.44	18.0	real
342	81	267	151077.289	0	virtual
343	267	82	10970.247	19.0	real
344	81	268	151077.289	0	virtual
345	268	82	10970.247	19.0	real
346	81	269	151077.289	0	virtual
347	269	82	10970.247	19.0	real
348	82	270	151077.289	0	virtual
349	270	83	10970.247	19.0	real
350	82	271	151077.289	0	virtual
351	271	83	10970.247	19.0	real
352	82	272	151077.289	0	virtual
353	272	83	10970.247	19.0	real
354	83	273	151077.289	0	virtual
355	273	7	10970.247	19.0	real
356	83	274	151077.289	0	virtual
357	274	7	10970.247	19.0	real
358	83	275	151077.289	0	virtual
359	275	7	10970.247	19.0	real
360	8	276	151077.289	0	virtual
361	276	85	12125.44	18.0	real
362	8	277	151077.289	0	virtual
363	277	85	12125.44	18.0	real
364	8	278	151077.289	0	virtual
365	278	85	12125.44	18.0	real
366	85	279	151077.289	0	virtual
367	279	32	12125.44	18.0	real
368	85	280	151077.289	0	virtual
369	280	32	12125.44	18.0	real
370	85	281	151077.289	0	virtual
371	281	32	12125.44	18.0	real
372	8	282	151077.289	0	virtual
373	282	35	22316.015	12.563	real
374	8	283	151077.289	0	virtual
375	283	35	22316.015	12.563	real
376	8	284	151077.289	0	virtual
377	284	35	22316.015	12.563	real
378	8	285	151077.289	0	virtual
379	285	87	12125.44	18.0	real
380	8	286	151077.289	0	virtual
381	286	87	12125.44	18.0	real
382	8	287	151077.289	0	virtual
383	287	87	12125.44	18.0	real
384	87	288	151077.289	0	virtual
385	288	88	12125.44	18.0	real
386	87	289	151077.289	0	virtual
387	289	88	12125.44	18.0	real
388	87	290	151077.289	0	virtual
389	290	88	12125.44	18.0	real
390	88	291	151077.289	0	virtual
391	291	38	12125.44	18.0	real
392	88	292	151077.289	0	virtual
393	292	38	12125.44	18.0	real
394	88	293	151077.289	0	virtual
395	293	38	12125.44	18.0	real
396	8	294	151077.289	0	virtual
397	294	90	14957.19	16.0	real
398	8	295	151077.289	0	virtual
399	295	90	14957.19	16.0	real
400	8	296	151077.289	0	virtual
401	296	90	14957.19	16.0	real
402	90	297	151077.289	0	virtual
403	297	91	14957.19	16.0	real
404	90	298	151077.289	0	virtual
405	298	91	14957.19	16.0	real
406	90	299	151077.289	0	virtual
407	299	91	14957.19	16.0	real
408	91	300	151077.289	0	virtual
409	300	92	13443.77	17.0	real
410	91	301	151077.289	0	virtual
411	301	92	13443.77	17.0	real
412	91	302	151077.289	0	virtual
413	302	92	13443.77	17.0	real
414	92	303	151077.289	0	virtual
415	303	93	13443.77	17.0	real
416	92	304	151077.289	0	virtual
417	304	93	13443.77	17.0	real
418	92	305	151077.289	0	virtual
419	305	93	13443.77	17.0	real
420	93	306	151077.289	0	virtual
421	306	47	13443.77	17.0	real
422	93	307	151077.289	0	virtual
423	307	47	13443.77	17.0	real
424	93	308	151077.289	0	virtual
425	308	47	13443.77	17.0	real
426	8	309	151077.289	0	virtual
427	309	95	23976.664	12.0	real
428	8	310	151077.289	0	virtual
429	310	95	23976.664	12.0	real
430	8	311	151077.289	0	virtual
431	311	95	23976.664	12.0	real
432	95	312	151077.289	0	virtual
433	312	36	21136.187	13.0	real
434	95	313	151077.289	0	virtual
435	313	36	21136.187	13.0	real
436	95	314	151077.289	0	virtual
437	314	36	21136.187	13.0	real
438	8	315	151077.289	0	virtual
439	315	97	13443.77	17.0	real
440	8	316	151077.289	0	virtual
441	316	97	13443.77	17.0	real
442	8	317	151077.289	0	virtual
443	317	97	13443.77	17.0	real
444	97	318	151077.289	0	virtual
445	318	30	12125.44	18.0	real
446	97	319	151077.289	0	virtual
447	319	30	12125.44	18.0	real
448	97	320	151077.289	0	virtual
449	320	30	12125.44	18.0	real
450	8	321	151077.289	0	virtual
451	321	99	27389.072	11.0	real
452	8	322	151077.289	0	virtual
453	322	99	27389.072	11.0	real
454	8	323	151077.289	0	virtual
455	323	99	27389.072	11.0	real
456	99	324	151077.289	0	virtual
457	324	31	23976.664	12.0	real
458	99	325	151077.289	0	virtual
459	325	31	23976.664	12.0	real
460	99	326	151077.289	0	virtual
461	326	31	23976.664	12.0	real
462	9	327	151077.289	0	virtual
463	327	101	21136.187	13.0	real
464	9	328	151077.289	0	virtual
465	328	101	21136.187	13.0	real
466	9	329	151077.289	0	virtual
467	329	101	21136.187	13.0	real
468	101	330	151077.289	0	virtual
469	330	32	21136.187	13.0	real
470	101	331	151077.289	0	virtual
471	331	32	21136.187	13.0	real
472	101	332	151077.289	0	virtual
473	332	32	21136.187	13.0	real
474	10	333	151077.289	0	virtual
475	333	11	14251.169	16.449	real
476	10	334	151077.289	0	virtual
477	334	11	14251.169	16.449	real
478	10	335	151077.289	0	virtual
479	335	11	14251.169	16.449	real
480	11	336	151077.289	0	virtual
481	336	103	16706.241	15.0	real
482	11	337	151077.289	0	virtual
483	337	103	16706.241	15.0	real
484	11	338	151077.289	0	virtual
485	338	103	16706.241	15.0	real
486	103	339	151077.289	0	virtual
487	339	19	14957.19	16.0	real
488	103	340	151077.289	0	virtual
489	340	19	14957.19	16.0	real
490	103	341	151077.289	0	virtual
491	341	19	14957.19	16.0	real
492	11	342	151077.289	0	virtual
493	342	105	10970.247	19.0	real
494	11	343	151077.289	0	virtual
495	343	105	10970.247	19.0	real
496	11	344	151077.289	0	virtual
497	344	105	10970.247	19.0	real
498	105	345	151077.289	0	virtual
499	345	23	9952.679	20.0	real
500	105	346	151077.289	0	virtual
501	346	23	9952.679	20.0	real
502	105	347	151077.289	0	virtual
503	347	23	9952.679	20.0	real
504	12	348	151077.289	0	virtual
505	348	30	46164.392	7.624	real
506	12	349	151077.289	0	virtual
507	349	30	46164.392	7.624	real
508	12	350	151077.289	0	virtual
509	350	30	46164.392	7.624	real
510	12	351	151077.289	0	virtual
511	351	30	46164.392	7.624	real
512	12	352	151077.289	0	virtual
513	352	30	46164.392	7.624	real
514	12	353	151077.289	0	virtual
515	353	30	46164.392	7.624	real
516	13	354	151077.289	0	virtual
517	354	14	10885.149	19.079	real
518	13	355	151077.289	0	virtual
519	355	14	10885.149	19.079	real
520	13	356	151077.289	0	virtual
521	356	14	10885.149	19.079	real
522	13	357	151077.289	0	virtual
523	357	107	10970.247	19.0	real
524	13	358	151077.289	0	virtual
525	358	107	10970.247	19.0	real
526	13	359	151077.289	0	virtual
527	359	107	10970.247	19.0	real
528	107	360	151077.289	0	virtual
529	360	30	9952.679	20.0	real
530	107	361	151077.289	0	virtual
531	361	30	9952.679	20.0	real
532	107	362	151077.289	0	virtual
533	362	30	9952.679	20.0	real
534	14	363	151077.289	0	virtual
535	363	42	15279.987	15.804	real
536	14	364	151077.289	0	virtual
537	364	42	15279.987	15.804	real
538	14	365	151077.289	0	virtual
539	365	42	15279.987	15.804	real
540	14	366	151077.289	0	virtual
541	366	109	12125.44	18.0	real
542	14	367	151077.289	0	virtual
543	367	109	12125.44	18.0	real
544	14	368	151077.289	0	virtual
545	368	109	12125.44	18.0	real
546	109	369	151077.289	0	virtual
547	369	110	10970.247	19.0	real
548	109	370	151077.289	0	virtual
549	370	110	10970.247	19.0	real
550	109	371	151077.289	0	virtual
551	371	110	10970.247	19.0	real
552	110	372	151077.289	0	virtual
553	372	15	10970.247	19.0	real
554	110	373	151077.289	0	virtual
555	373	15	10970.247	19.0	real
556	110	374	151077.289	0	virtual
557	374	15	10970.247	19.0	real
558	14	375	151077.289	0	virtual
559	375	112	14957.19	16.0	real
560	14	376	151077.289	0	virtual
561	376	112	14957.19	16.0	real
562	14	377	151077.289	0	virtual
563	377	112	14957.19	16.0	real
564	112	378	151077.289	0	virtual
565	378	113	14957.19	16.0	real
566	112	379	151077.289	0	virtual
567	379	113	14957.19	16.0	real
